EPOCH=001,Accuracy= 58.500%
EPOCH=002,Accuracy= 70.470%
EPOCH=003,Accuracy= 73.070%
EPOCH=004,Accuracy= 77.610%
EPOCH=005,Accuracy= 81.060%
EPOCH=006,Accuracy= 81.110%
EPOCH=007,Accuracy= 80.410%
EPOCH=008,Accuracy= 85.920%
EPOCH=009,Accuracy= 85.110%
EPOCH=010,Accuracy= 86.530%
EPOCH=011,Accuracy= 86.250%
EPOCH=012,Accuracy= 85.710%
EPOCH=013,Accuracy= 87.530%
EPOCH=014,Accuracy= 88.640%
EPOCH=015,Accuracy= 88.760%
EPOCH=016,Accuracy= 88.380%
EPOCH=017,Accuracy= 88.390%
EPOCH=018,Accuracy= 87.890%
EPOCH=019,Accuracy= 89.390%
EPOCH=020,Accuracy= 90.020%
