001  00001 |Loss: 2.415 | Acc: 7.812% 
001  00002 |Loss: 2.833 | Acc: 9.766% 
001  00003 |Loss: 2.777 | Acc: 11.979% 
001  00004 |Loss: 2.706 | Acc: 13.281% 
001  00005 |Loss: 2.640 | Acc: 15.000% 
001  00006 |Loss: 2.551 | Acc: 17.448% 
001  00007 |Loss: 2.494 | Acc: 17.857% 
001  00008 |Loss: 2.451 | Acc: 18.750% 
001  00009 |Loss: 2.404 | Acc: 19.965% 
001  00010 |Loss: 2.372 | Acc: 20.078% 
001  00011 |Loss: 2.336 | Acc: 20.668% 
001  00012 |Loss: 2.312 | Acc: 21.224% 
001  00013 |Loss: 2.288 | Acc: 21.575% 
001  00014 |Loss: 2.265 | Acc: 22.154% 
001  00015 |Loss: 2.240 | Acc: 22.865% 
001  00016 |Loss: 2.220 | Acc: 23.291% 
001  00017 |Loss: 2.203 | Acc: 23.713% 
001  00018 |Loss: 2.188 | Acc: 24.089% 
001  00019 |Loss: 2.172 | Acc: 24.630% 
001  00020 |Loss: 2.162 | Acc: 24.805% 
001  00021 |Loss: 2.156 | Acc: 24.777% 
001  00022 |Loss: 2.150 | Acc: 24.822% 
001  00023 |Loss: 2.145 | Acc: 24.864% 
001  00024 |Loss: 2.133 | Acc: 25.130% 
001  00025 |Loss: 2.119 | Acc: 25.562% 
001  00026 |Loss: 2.112 | Acc: 25.361% 
001  00027 |Loss: 2.102 | Acc: 25.521% 
001  00028 |Loss: 2.095 | Acc: 25.670% 
001  00029 |Loss: 2.094 | Acc: 25.647% 
001  00030 |Loss: 2.086 | Acc: 25.625% 
001  00031 |Loss: 2.075 | Acc: 26.109% 
001  00032 |Loss: 2.069 | Acc: 26.196% 
001  00033 |Loss: 2.058 | Acc: 26.610% 
001  00034 |Loss: 2.050 | Acc: 26.861% 
001  00035 |Loss: 2.042 | Acc: 27.098% 
001  00036 |Loss: 2.033 | Acc: 27.279% 
001  00037 |Loss: 2.027 | Acc: 27.470% 
001  00038 |Loss: 2.021 | Acc: 27.673% 
001  00039 |Loss: 2.014 | Acc: 27.825% 
001  00040 |Loss: 2.006 | Acc: 28.047% 
001  00041 |Loss: 1.999 | Acc: 28.373% 
001  00042 |Loss: 1.993 | Acc: 28.441% 
001  00043 |Loss: 1.989 | Acc: 28.634% 
001  00044 |Loss: 1.984 | Acc: 28.729% 
001  00045 |Loss: 1.976 | Acc: 28.924% 
001  00046 |Loss: 1.976 | Acc: 28.889% 
001  00047 |Loss: 1.972 | Acc: 29.023% 
001  00048 |Loss: 1.968 | Acc: 29.085% 
001  00049 |Loss: 1.964 | Acc: 29.305% 
001  00050 |Loss: 1.960 | Acc: 29.422% 
001  00051 |Loss: 1.958 | Acc: 29.596% 
001  00052 |Loss: 1.952 | Acc: 29.703% 
001  00053 |Loss: 1.946 | Acc: 29.805% 
001  00054 |Loss: 1.941 | Acc: 29.905% 
001  00055 |Loss: 1.935 | Acc: 30.000% 
001  00056 |Loss: 1.931 | Acc: 30.134% 
001  00057 |Loss: 1.930 | Acc: 30.099% 
001  00058 |Loss: 1.924 | Acc: 30.374% 
001  00059 |Loss: 1.918 | Acc: 30.588% 
001  00060 |Loss: 1.914 | Acc: 30.690% 
001  00061 |Loss: 1.910 | Acc: 30.763% 
001  00062 |Loss: 1.905 | Acc: 30.872% 
001  00063 |Loss: 1.902 | Acc: 30.915% 
001  00064 |Loss: 1.898 | Acc: 30.920% 
001  00065 |Loss: 1.894 | Acc: 31.034% 
001  00066 |Loss: 1.888 | Acc: 31.143% 
001  00067 |Loss: 1.885 | Acc: 31.273% 
001  00068 |Loss: 1.882 | Acc: 31.342% 
001  00069 |Loss: 1.879 | Acc: 31.465% 
001  00070 |Loss: 1.875 | Acc: 31.562% 
001  00071 |Loss: 1.874 | Acc: 31.547% 
001  00072 |Loss: 1.871 | Acc: 31.586% 
001  00073 |Loss: 1.869 | Acc: 31.657% 
001  00074 |Loss: 1.868 | Acc: 31.715% 
001  00075 |Loss: 1.864 | Acc: 31.802% 
001  00076 |Loss: 1.862 | Acc: 31.939% 
001  00077 |Loss: 1.860 | Acc: 31.981% 
001  00078 |Loss: 1.858 | Acc: 32.051% 
001  00079 |Loss: 1.856 | Acc: 32.130% 
001  00080 |Loss: 1.853 | Acc: 32.207% 
001  00081 |Loss: 1.851 | Acc: 32.292% 
001  00082 |Loss: 1.849 | Acc: 32.279% 
001  00083 |Loss: 1.846 | Acc: 32.361% 
001  00084 |Loss: 1.843 | Acc: 32.515% 
001  00085 |Loss: 1.839 | Acc: 32.647% 
001  00086 |Loss: 1.836 | Acc: 32.840% 
001  00087 |Loss: 1.833 | Acc: 32.947% 
001  00088 |Loss: 1.830 | Acc: 32.981% 
001  00089 |Loss: 1.829 | Acc: 33.023% 
001  00090 |Loss: 1.827 | Acc: 33.116% 
001  00091 |Loss: 1.825 | Acc: 33.207% 
001  00092 |Loss: 1.822 | Acc: 33.263% 
001  00093 |Loss: 1.819 | Acc: 33.359% 
001  00094 |Loss: 1.814 | Acc: 33.502% 
001  00095 |Loss: 1.811 | Acc: 33.544% 
001  00096 |Loss: 1.809 | Acc: 33.643% 
001  00097 |Loss: 1.804 | Acc: 33.787% 
001  00098 |Loss: 1.802 | Acc: 33.905% 
001  00099 |Loss: 1.801 | Acc: 33.941% 
001  00100 |Loss: 1.799 | Acc: 34.031% 
001  00101 |Loss: 1.797 | Acc: 34.050% 
001  00102 |Loss: 1.794 | Acc: 34.191% 
001  00103 |Loss: 1.790 | Acc: 34.329% 
001  00104 |Loss: 1.789 | Acc: 34.322% 
001  00105 |Loss: 1.785 | Acc: 34.472% 
001  00106 |Loss: 1.782 | Acc: 34.589% 
001  00107 |Loss: 1.779 | Acc: 34.689% 
001  00108 |Loss: 1.776 | Acc: 34.780% 
001  00109 |Loss: 1.774 | Acc: 34.848% 
001  00110 |Loss: 1.772 | Acc: 34.915% 
001  00111 |Loss: 1.770 | Acc: 34.987% 
001  00112 |Loss: 1.768 | Acc: 35.080% 
001  00113 |Loss: 1.766 | Acc: 35.142% 
001  00114 |Loss: 1.765 | Acc: 35.136% 
001  00115 |Loss: 1.762 | Acc: 35.190% 
001  00116 |Loss: 1.762 | Acc: 35.210% 
